MID,MAGNAME,ISSN,eISSN,PUBLISHER
DDNF,Rhode Island Medical Journal,3637913,23272228,Rhode Island Medical Society
8W7Q,Journal of Evidence-Based Medicine,17565383,17565391,Wiley-Blackwell
86WL,BMC Research Notes,17560500,,BioMed Central
EV30,Frontiers in Cellular & Infection Microbiology,22352988,,Frontiers Media S.A.
B2HC,Biomatter,21592527,21592535,Taylor & Francis Ltd
K1G5,Molecules & Cells (Springer Science & Business Media B.V.),10168478,2191032,Springer Science & Business Media B.V.
FBK8,Chinese Journal of Schistosomiasis Control / Zhongguo Xue Xi Chong Bing Fang Zhi Za Zhi,10056661,,Chinese Journal of Schistosomiasis Control
EUV3,JNM,979031,,Society of Nuclear Medicine
EUV4,NM: Journal of Nuclear Medicine,979058,,Society of Nuclear Medicine
FQUP,Urolithiasis,21947228,21947236,Springer Science & Business Media B.V.
EUV6,Journal of Nuclear Medicine (Society of Nuclear Medicine),,,Society of Nuclear Medicine
EEGY,Advanced Healthcare Materials,21922640,21922659,Wiley-Blackwell
8A0V,Mycotoxin Research,1787888,18671632,Springer Science & Business Media B.V.
FRVY,Stem Cells Translational Medicine,21576564,21576564,"AlphaMed Company, Inc., dba AlphaMed Press"
8ZPW,Scandinavian Journal of Clinical & Laboratory Investigation. Supplement,0085591X,,Taylor & Francis Ltd
FQBN,Amyotrophic Lateral Sclerosis & Frontotemporal Degeneration,21678421,21679223,Taylor & Francis Ltd
H97L,Primary Care Respiratory Society UK,20551010,,Primary Care Respiratory Society
H97N,Report on Carcinogens. Monograph on ...,2331267X,,U.S. National Toxicology Program
65OS,Developmental Period Medicine,1428345X,,Wydawnictwo ALUNA
786T,Libyan Journal of Medicine,19932820,18196357,Co-Action Publishing
5DI5,Journal of Oncology Practice,15547477,1935469X,American Society of Clinical Oncology
B6DA,Journal of Obesity,20900708,20900716,Hindawi Limited
1CPK,Harm Reduction Journal,14777517,,BioMed Central
FSQF,Scandinavian Journal of Urology,21681805,21681813,Taylor & Francis Ltd
FSQE,Andrology,20472919,20472927,Wiley-Blackwell
FSQB,MicrobiologyOpen,20458827,,Wiley-Blackwell
FSQ9,Journal of the American Heart Association,20479980,,Wiley-Blackwell
FSQC,Medical Science Monitor: Basic Research,23254394,23254416,"International Scientific Literature, Inc"
APA,Archives of Pediatrics & Adolescent Medicine,10724710,15383628,American Medical Association
FTFW,JAMA Pediatrics,21686203,21686211,American Medical Association
1XEB,Anatolian Journal of Cardiology / Anadolu Kardiyoloji Dergisi,13028723,13080032,KARE Publishing
I6RR,International Journal of Health Economics & Management,21999023,21999031,Springer Science & Business Media B.V.
I75M,New Directions for Student Leadership,23733349,23733357,"John Wiley & Sons, Inc."
IQ32,Physician Leadership Journal,23744030,,American Association of Physician Leadership
JEUA,Journal of Family Health,20587554,,Pavilion Publishing & Media Ltd
0LU,Maternal & Child Nutrition,17408695,17408709,Wiley-Blackwell
10T,Psychotherapy Research,10503307,14684381,Routledge
12CR,Canadian Bulletin of Medical History,8232105,,University of Toronto Press
138D,Acta of Bioengineering & Biomechanics,1509409X,,Oficyna Wydawnicza Politechniki Wroclawskiej
H06S,Canadian Journal of Gastroenterology & Hepatology,22912789,22912797,Hindawi Limited
GZZC,MGMA Connection,,,MGMA
OBD,Drug Development Research,2724391,10982299,"John Wiley & Sons, Inc."
78JP,Einstein (16794508),16794508,,Instituto Israelita de Ensino e Pesquisa Albert Einstein
15UG,Global Public Health,17441692,17441706,Routledge
15Z3,Science Progress,368504,,Science Reviews 2000 Ltd.
166P,PLoS Computational Biology,1553734X,15537358,Public Library of Science
AY0V,IMA Journal of Mathematics Applied in Medicine & Biology,2650746,14716879,Oxford University Press / USA
GCLU,Global Health: Science & Practice,2169575X,,Johns Hopkins Center for Communication Programs
GY0F,CoDAS,23171782,,Sociedade Brasileira de Fonoaudiologia
GZMW,Journal of Immunology Research,23147156,23147156,Hindawi Limited
166Q,PLoS Genetics,15537390,15537404,Public Library of Science
166R,PLoS Pathogens,15537366,15537374,Public Library of Science
171W,Asia Pacific Journal of Clinical Oncology,17437555,17437563,Wiley-Blackwell
1D1H,Revista Brasileira de Psiquiatria,15164446,,Revista Brasileira de Psiquiatria
1D2F,Revista de Salud Publica,1240064,,Universidad Nacional de Colombia
1DKM,Journal of Social Work in End-of-Life & Palliative Care,15524256,15524264,Taylor & Francis Ltd
1DXM,Australian Journal of Primary Health,14487527,18367399,CSIRO Publishing
1GMZ,Acta Medico-Historica Adriatica,13344366,,Acta Medico-Historica Adriatica
1GV8,Cutaneous & Ocular Toxicology,15569527,15569535,Taylor & Francis Ltd
1GYD,Tort Trial & Insurance Practice Law Journal,15433234,,American Bar Association
1H4I,Journal of Genetics,221333,9737731,Springer Science & Business Media B.V.
1HT,Journal of Health Communication,10810730,10870415,Routledge
1VEX,Medicine & Health Rhode Island,10865462,,Rhode Island Medical Society
1X2I,Social Neuroscience,17470919,17470927,Taylor & Francis Ltd
1XDI,Sensors (14248220),14248220,,MDPI Publishing
1YE1,Integrative Zoology,17494869,17494877,Wiley-Blackwell
236A,American University Law Review,31453,,American University Washington College of Law
23DY,Psicothema,2149915,1886144X,Colegio Oficial de Psicologos del Principado de Asturias
2716,Experimental Diabetes Research,16875214,16875303,Hindawi Limited
2718,Computational Intelligence & Neuroscience,16875265,16875273,Hindawi Limited
29Z,Osiris,3697827,,University of Chicago Press
2F7L,Biointerphases,19348630,15594106,"AVS, The Science & Technology Society"
2QFE,Neural Plasticity,20905904,16875443,Hindawi Limited
2QVA,Medicinski Pregled / Medical Review,258105,,National Library of Serbia
2WT0,Revista Peruana de Medicina Experimental y Salud Publica,17264634,,Instituto Nacional de Salud (Peru)
2Y4Q,HIV/AIDS Policy & Law Review,1712624X,,Canadian HIV/AIDS Legal Network
2YAU,Computational & Mathematical Methods in Medicine,1748670X,17486718,Hindawi Limited
30O6,World Journal of Biological Psychiatry,15622975,18141412,Taylor & Francis Ltd
30RD,Early Intervention in Psychiatry,17517885,17517893,Wiley-Blackwell
30RF,Influenza & Other Respiratory Viruses,17502640,17502659,Wiley-Blackwell
32F3,Contributions of Macedonian Academy of Sciences & Arts,3513254,,Macedonian Academy of Sciences & Arts (MANU)
34U8,Clinical Respiratory Journal,17526981,1752699X,Wiley-Blackwell
38AO,Journal of Neuropsychology,17486645,17486653,Wiley-Blackwell
38LY,Biology Direct,17456150,,BioMed Central
38M0,BMC Systems Biology,17520509,,BioMed Central
38ML,Head & Face Medicine,1746160X,,BioMed Central
38N0,Journal of Cardiothoracic Surgery,17498090,,BioMed Central
38N4,Journal of Ethnobiology & Ethnomedicine,17464269,,BioMed Central
G5G3,Journal of Diabetes Research,23146745,23146753,Hindawi Limited
G5G4,National Toxicology Program Monographs,,,U.S. National Toxicology Program
BM3Y,Arab Journal of Nephrology & Transplantation,1858554X,,Arab Journal of Nephrology & Transplantation
04N,Arthritis & Rheumatism,43591,15290131,"John Wiley & Sons, Inc."
FBOB,Microscopy,20505698,20505701,Oxford University Press / USA
B62H,International Journal of Occupational & Environmental Medicine,20086520,20086814,National Iranian Oil Company Health Organization
38NM,Neural Development,17498104,,BioMed Central
38NP,Orphanet Journal of Rare Diseases,17501172,,BioMed Central
38NS,"Philosophy, Ethics & Humanities in Medicine",17475341,,BioMed Central
38NX,Radiation Oncology,1748717X,,BioMed Central
38O7,"Substance Abuse Treatment, Prevention & Policy",1747597X,,BioMed Central
38OC,Trials,17456215,,BioMed Central
